zip_code,year1_of_occurrence,month1_of_occurence,c3
75246,2015,April,19
75246,2015,August,18
75246,2015,December,18
75246,2015,February,11
75246,2015,July,30
75246,2015,June,18
75246,2015,March,18
75246,2015,May,21
75246,2015,November,20
75246,2015,October,23
75246,2015,September,17
75246,2016,April,19
75246,2016,August,31
75246,2016,December,17
75246,2016,February,20
75246,2016,January,20
75246,2016,July,21
75246,2016,June,27
75246,2016,March,25
75246,2016,May,21
75246,2016,November,12
75246,2016,October,19
75246,2016,September,18
75246,2017,February,10
75246,2017,January,25
75247,2014,August,1
75247,2014,November,1
75247,2014,October,1
75247,2015,April,91
75247,2015,August,97
75247,2015,December,107
75247,2015,February,55
75247,2015,January,1
75247,2015,July,118
75247,2015,June,87
75247,2015,March,99
75247,2015,May,81
75247,2015,November,113
75247,2015,October,100
75247,2015,September,66
75247,2016,April,91
75247,2016,August,87
75247,2016,December,87
75247,2016,February,122
75247,2016,January,112
75247,2016,July,99
75247,2016,June,107
75247,2016,March,99
75247,2016,May,92
75247,2016,November,86
75247,2016,October,85
75247,2016,September,79
75247,2017,February,75
75247,2017,January,98
75248,2014,December,2
75248,2014,November,1
75248,2015,April,66
75248,2015,August,80
75248,2015,December,93
75248,2015,February,29
75248,2015,January,2
75248,2015,July,66
75248,2015,June,70
75248,2015,March,52
75248,2015,May,62
75248,2015,November,67
75248,2015,October,89
75248,2015,September,63
75248,2016,April,87
75248,2016,August,76
75248,2016,December,75
75248,2016,February,77
75248,2016,January,105
75248,2016,July,79
75248,2016,June,76
75248,2016,March,91
75248,2016,May,74
75248,2016,November,95
75248,2016,October,108
75248,2016,September,68
75248,2017,February,47
75248,2017,January,74
75249,2014,July,1
75249,2015,April,31
75249,2015,August,46
75249,2015,December,54
75249,2015,February,25
75249,2015,July,45
75249,2015,June,35
75249,2015,March,26
75249,2015,May,33
75249,2015,November,42
75249,2015,October,42
75249,2015,September,41
75249,2016,April,53
75249,2016,August,51
75249,2016,December,53
75249,2016,February,28
75249,2016,January,42
75249,2016,July,46
75249,2016,June,49
75249,2016,March,48
75249,2016,May,63
75249,2016,November,28
75249,2016,October,38
75249,2016,September,56
75249,2017,February,28
75249,2017,January,32
75251,2014,August,2
75251,2014,November,1
75251,2015,April,28
75251,2015,August,40
75251,2015,December,38
75251,2015,February,19
75251,2015,July,40
75251,2015,June,35
75251,2015,March,26
75251,2015,May,36
75251,2015,November,37
75251,2015,October,41
75251,2015,September,39
75251,2016,April,47
75251,2016,August,48
75251,2016,December,39
75251,2016,February,42
75251,2016,January,30
75251,2016,July,43
75251,2016,June,45
75251,2016,March,38
75251,2016,May,62
75251,2016,November,42
75251,2016,October,36
75251,2016,September,40
75251,2017,February,27
75251,2017,January,41
75252,2013,December,1
75252,2014,January,1
75252,2014,July,1
75252,2014,June,1
75252,2014,March,1
75252,2014,November,2
75252,2014,September,1
75252,2015,April,39
75252,2015,August,65
75252,2015,December,61
75252,2015,February,32
75252,2015,January,6
75252,2015,July,66
75252,2015,June,50
75252,2015,March,47
75252,2015,May,33
75252,2015,November,58
75252,2015,October,56
75252,2015,September,54
75252,2016,April,39
75252,2016,August,57
75252,2016,December,55
75252,2016,February,63
75252,2016,January,63
75252,2016,July,54
75252,2016,June,61
75252,2016,March,50
75252,2016,May,61
75252,2016,November,70
75252,2016,October,60
75252,2016,September,64
75252,2017,February,44
75252,2017,January,58
75253,2014,July,1
75253,2014,May,1
75253,2014,October,1
75253,2015,April,67
75253,2015,August,77
75253,2015,December,100
75253,2015,February,33
75253,2015,January,1
75253,2015,July,83
75253,2015,June,75
75253,2015,March,58
75253,2015,May,93
75253,2015,November,92
75253,2015,October,81
75253,2015,September,88
75253,2016,April,70
75253,2016,August,83
75253,2016,December,109
75253,2016,February,72
75253,2016,January,78
75253,2016,July,105
75253,2016,June,94
75253,2016,March,82
75253,2016,May,74
75253,2016,November,74
75253,2016,October,79
75253,2016,September,90
75253,2017,February,32
75253,2017,January,93
75254,2011,November,1
75254,2014,December,1
75254,2015,April,75
75254,2015,August,84
75254,2015,December,76
75254,2015,February,42
75254,2015,January,1
75254,2015,July,92
75254,2015,June,109
75254,2015,March,91
75254,2015,May,83
75254,2015,November,83
75254,2015,October,101
75254,2015,September,83
75254,2016,April,76
75254,2016,August,88
75254,2016,December,101
75254,2016,February,81
75254,2016,January,91
75254,2016,July,96
75254,2016,June,79
75254,2016,March,71
75254,2016,May,78
75254,2016,November,98
75254,2016,October,110
75254,2016,September,86
75254,2017,February,55
75254,2017,January,68
75287,2008,January,1
75287,2014,April,1
75287,2014,May,1
75287,2014,November,1
75287,2015,April,157
75287,2015,August,148
75287,2015,December,222
75287,2015,February,75
75287,2015,January,3
75287,2015,July,183
75287,2015,June,189
75287,2015,March,154
75287,2015,May,166
75287,2015,November,187
75287,2015,October,170
75287,2015,September,157
75287,2016,April,158
75287,2016,August,188
75287,2016,December,157
75287,2016,February,149
75287,2016,January,163
75287,2016,July,155
75287,2016,June,155
75287,2016,March,149
75287,2016,May,170
75287,2016,November,145
75287,2016,October,160
75287,2016,September,162
75287,2017,February,99
75287,2017,January,164
76018,2017,February,1
